ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
2.53,4.75,1.87,2.53,13.19,9.04,7.09,5.67
4.57,4.35,7.0,3.07,13.33,11.73,3.95,8.42
4.22,3.91,10.32,10.76,10.41,9.39,9.04,9.61
7.49,8.9,20.09,8.37,16.51,10.32,21.73,11.20
9.12,9.48,43.58,17.04,30.09,6.21,34.42,13.72
6.78,7.27,8.55,9.57,38.54,5.59,29.78,9.66
9.43,6.21,15.54,10.32,42.56,6.16,18.46,3.95
18.28,4.97,10.94,10.1,39.29,7.89,29.69,4.83
23.45,4.83,12.18,8.99,40.66,11.47,50.66,6.34
19.16,5.19,6.91,8.81,38.05,12.75,43.62,4.08
8.06,3.24,4.61,3.91,35.48,13.15,16.60,1.74
5.1,1.69,4.92,3.02,27.48,13.46,5.01,1.43
7.13,2.0,4.66,2.18,20.27,9.74,9.61,2.18
15.05,1.61,18.55,3.2,23.32,7.67,18.85,1.61
22.97,3.46,12.49,6.38,37.70,5.50,34.42,2.45
22.35,7.36,15.23,3.6,48.84,12.97,38.18,13.90
11.29,15.45,5.01,19.83,54.72,22.17,21.20,32.52
4.22,17.97,5.45,17.75,40.75,32.26,7.22,45.48
2.71,11.47,2.05,4.7,29.03,39.73,2.58,35.84
0.9,2.84,1.25,7.97,12.75,33.76,1.16,12.62
2.05,13.24,2.84,16.55,4.61,30.00,1.65,11.25
4.57,10.81,5.9,4.44,3.55,16.20,3.20,12.80
15.76,4.57,6.82,5.41,6.47,14.70,15.45,6.56
30.22,5.01,24.16,6.12,15.10,7.44,33.41,3.11
35.75,4.35,10.94,4.35,18.72,5.54,41.72,4.79
37.39,4.13,24.21,5.32,22.30,3.24,36.90,8.46
41.32,3.95,9.92,6.6,18.50,4.75,46.28,5.76
34.25,11.96,4.88,4.83,23.32,8.55,48.00,13.28
14.34,13.15,8.46,11.82,27.35,9.92,32.96,25.27
17.44,11.78,16.6,11.82,31.02,15.63,21.24,40.31
30.53,17.35,24.69,13.37,32.61,19.25,33.58,37.43
33.1,14.92,14.48,9.88,33.94,23.28,30.35,14.52
17.66,7.31,14.08,13.06,49.81,20.05,15.71,28.72
12.62,10.81,6.56,13.46,54.19,16.33,26.99,38.76
27.92,22.75,28.54,14.61,65.69,19.87,43.27,33.58
24.6,28.32,6.38,16.29,54.55,23.50,41.19,34.95
11.78,23.37,8.37,10.98,45.61,29.78,23.54,29.38
3.95,13.41,8.51,8.68,27.17,28.59,12.93,12.80
11.6,10.27,5.37,12.09,16.16,24.56,6.29,7.58
19.74,13.9,17.31,26.95,16.25,21.46,17.48,10.85
19.87,12.66,7.4,9.35,20.54,16.16,30.62,5.06
10.23,5.14,6.03,10.14,19.78,19.74,23.68,2.09
3.33,4.04,2.62,3.95,17.00,16.60,5.10,7.71
2.18,2.36,2.05,7.22,11.47,22.70,2.14,18.81
0.9,5.41,0.85,7.8,7.09,19.47,1.03,20.71
1.69,3.82,1.74,10.05,3.68,21.69,1.43,11.16
2.8,4.52,2.89,7.4,3.37,15.71,3.64,9.83
4.22,8.24,4.39,8.9,7.44,12.53,3.77,19.03
10.81,13.86,4.88,5.19,8.73,10.36,10.27,20.18
16.64,14.39,4.88,5.45,11.91,10.76,13.37,14.70
18.41,7.89,14.52,4.44,10.94,13.41,12.00,13.55
14.08,3.37,3.46,4.48,16.20,14.03,12.18,13.59
6.65,7.71,3.02,3.6,13.37,18.28,7.71,7.36
8.37,14.65,3.46,4.04,11.69,18.77,8.90,11.51
10.01,14.74,7.31,5.81,7.67,17.84,11.25,17.09
4.7,3.51,5.85,8.37,10.32,13.33,7.93,12.66
2.93,6.12,2.62,4.13,14.21,13.64,6.52,6.69
3.29,5.19,5.94,7.22,19.92,16.82,12.22,9.43
9.74,3.6,10.5,8.15,25.75,16.86,14.87,17.31
13.19,5.37,4.79,4.75,36.81,15.27,15.10,15.63
10.19,5.23,10.63,9.88,40.22,11.16,12.80,10.89
5.9,4.13,10.76,10.01,37.21,6.96,9.12,13.41
2.27,4.3,11.78,5.63,29.07,4.61,5.94,10.27
2.53,2.45,11.34,5.01,20.71,3.64,12.31,7.36
6.91,9.04,11.56,11.82,29.47,9.52,17.22,9.43
6.69,15.27,6.6,10.58,34.87,12.49,8.33,12.75
4.52,18.41,6.96,16.64,43.49,17.22,16.55,13.15
13.19,16.78,28.72,25.75,46.06,16.20,32.12,13.15
13.33,10.14,8.02,3.11,37.43,15.32,27.70,14.34
8.77,8.11,14.96,10.14,33.18,11.60,12.80,10.27
6.47,7.89,4.52,10.76,18.41,7.62,5.32,5.06
10.72,6.29,8.81,12.66,18.01,5.01,2.71,4.04
16.2,6.91,3.99,17.31,15.01,5.01,7.36,3.55
16.47,8.95,5.14,19.47,17.62,6.25,14.79,7.75
11.11,10.5,1.78,16.29,20.93,10.94,19.83,11.96
10.76,8.28,5.19,7.27,23.45,10.50,19.16,14.08
12.0,9.57,4.7,11.87,23.59,10.58,16.73,11.29
8.02,14.79,2.45,9.83,23.01,6.12,11.51,8.51
3.11,11.16,4.44,6.43,18.06,6.82,7.05,12.71
6.07,14.92,7.62,10.14,14.03,10.50,4.22,12.66
8.46,15.32,5.41,8.02,15.54,12.49,17.93,25.98
6.52,12.93,22.39,14.96,21.77,21.55,33.58,41.94
5.5,13.02,20.09,18.85,30.88,26.20,41.59,47.47
7.0,9.79,5.67,3.51,36.19,41.77,29.38,31.06
4.57,9.35,9.96,6.25,33.58,44.60,9.74,16.73
2.67,7.44,10.67,17.0,25.44,40.39,6.91,16.60
7.22,8.28,10.89,9.04,12.00,28.59,12.18,15.94
9.96,11.82,12.04,8.2,6.12,13.77,12.00,12.04
8.02,13.37,9.17,5.23,4.79,8.77,14.21,14.12
5.81,11.34,11.25,3.42,6.96,5.59,18.63,12.09
2.31,7.97,5.67,12.62,6.38,9.57,15.94,10.85
6.07,6.03,4.44,5.06,8.24,10.19,10.72,14.56
13.37,15.32,10.94,12.4,10.01,11.07,9.17,16.86
15.98,20.54,14.56,6.56,17.88,8.90,10.19,17.84
13.95,10.5,4.75,2.8,18.01,7.40,17.57,24.65
10.27,11.34,31.86,21.86,23.45,10.27,41.28,39.29
5.28,20.27,25.4,19.61,21.73,17.79,46.85,40.04
10.01,17.0,12.31,9.74,39.38,37.74,30.66,32.39
4.83,6.6,13.77,7.93,37.03,40.04,11.60,21.38
9.57,8.42,5.45,7.18,40.00,39.86,12.40,13.46
14.83,12.44,14.3,14.87,23.81,22.30,10.50,11.20
15.63,13.5,5.06,4.75,27.21,23.01,9.96,11.16
14.7,13.41,10.5,6.25,22.00,18.46,4.83,3.07
15.45,12.35,10.63,3.24,22.08,19.43,9.88,7.00
11.38,9.66,13.15,8.73,15.98,18.28,15.49,13.15
12.04,12.04,23.59,14.03,10.81,18.55,20.67,22.70
15.54,24.16,18.28,13.06,12.35,30.93,16.78,31.73
12.62,25.14,11.96,14.61,15.18,37.25,12.49,33.32
19.03,16.78,16.6,6.47,34.47,45.44,14.79,19.96
26.77,9.88,11.25,7.44,50.66,44.02,15.89,11.34
24.47,9.35,14.43,3.95,57.47,33.76,22.22,5.59
12.4,9.66,4.04,4.13,57.60,29.78,19.34,5.59
3.46,11.6,5.9,6.78,42.56,18.41,8.28,9.48
2.14,12.66,1.83,3.77,30.27,15.94,2.40,9.57
3.11,11.16,2.62,8.81,14.83,11.73,1.38,8.81
6.12,8.81,4.75,9.17,7.05,9.92,2.31,7.36
5.41,8.86,4.75,4.75,4.83,9.57,5.19,5.94
7.22,7.44,7.0,10.32,3.15,5.98,9.21,8.28
7.62,5.28,7.49,5.9,1.74,5.28,8.73,10.36
3.11,2.62,5.67,3.99,1.92,5.50,4.44,7.89
8.51,3.29,5.1,5.45,4.13,9.04,6.43,8.55
18.06,7.22,6.87,11.42,5.90,12.93,4.26,7.62
31.06,18.94,9.96,9.66,9.61,13.86,7.49,5.14
37.43,26.82,6.74,6.03,13.55,12.53,14.87,8.81
29.6,22.97,2.53,3.99,16.20,18.19,16.33,12.35
17.79,14.65,4.52,4.88,22.48,25.18,14.48,16.78
8.06,7.44,8.77,4.13,22.61,31.59,13.33,14.48
14.43,21.91,7.22,15.41,39.29,32.12,14.21,31.11
24.03,30.4,23.1,12.35,44.55,29.47,11.11,51.85
25.09,21.6,23.32,14.96,61.49,26.20,11.42,47.16
17.17,7.67,8.95,5.01,61.58,20.62,20.71,26.46
7.67,3.64,7.75,6.34,53.75,16.64,16.47,9.04
2.98,2.93,4.57,2.36,40.08,11.69,3.95,3.15
1.34,2.58,1.61,2.09,19.39,9.04,3.64,4.61
3.07,4.26,1.34,2.62,17.75,10.94,4.48,6.03
2.45,4.48,3.64,5.37,14.70,12.93,8.81,8.59
2.27,2.4,0.94,2.22,18.06,15.32,9.17,6.38
3.07,2.31,3.68,2.67,13.59,11.29,6.56,4.97
3.2,4.17,5.01,6.69,12.09,12.18,4.44,4.88
5.23,5.19,7.44,8.46,7.75,9.21,7.93,7.00
11.25,14.87,6.82,8.46,17.57,17.75,13.33,18.59
20.93,26.9,18.77,16.25,26.59,25.44,11.65,20.45
21.2,23.99,25.22,28.98,39.47,43.09,13.24,23.76
15.23,7.89,8.28,10.85,42.61,50.43,27.26,34.03
8.86,4.7,11.91,13.06,38.05,46.10,22.66,29.07
2.8,7.22,10.63,15.49,29.56,37.34,4.35,11.91
1.92,6.12,6.91,3.95,17.17,21.24,1.92,8.77
5.67,5.81,8.46,10.94,10.45,17.26,4.26,8.02
5.06,2.49,8.24,5.32,6.56,12.18,6.43,7.27
5.01,3.51,5.45,4.39,9.39,13.95,10.23,8.20
7.05,6.12,20.18,9.92,15.98,14.87,13.11,8.33
12.49,9.74,17.09,7.53,24.25,17.48,10.81,9.39
8.37,9.83,16.91,12.8,35.09,16.29,9.04,9.88
2.71,8.64,16.07,13.15,38.09,14.12,10.27,7.05
7.0,6.03,23.06,12.4,34.91,15.23,13.95,7.31
8.99,12.88,14.43,2.89,26.99,16.11,21.91,20.45
13.81,30.71,26.73,10.45,19.70,29.16,37.43,41.81
19.34,39.86,15.67,10.45,31.02,32.65,43.05,43.05
15.41,26.55,11.07,12.0,42.92,40.48,37.39,28.81
7.84,5.98,5.06,14.65,52.78,40.04,22.97,16.38
4.39,7.49,2.4,15.23,54.15,34.07,13.28,10.85
3.02,12.8,2.67,13.81,37.39,24.65,9.96,11.69
1.92,20.18,1.3,11.65,29.69,10.76,3.51,9.74
2.31,15.98,2.49,15.05,13.81,13.28,2.27,9.74
2.93,9.35,4.17,14.52,11.82,17.48,2.84,11.07
