ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
6.65,6.65,9.83,4.52,37.52,44.20,17.26,14.39
17.4,9.39,12.35,12.26,35.71,36.99,13.37,9.12
18.01,11.03,6.43,5.23,33.89,31.64,18.50,8.33
11.16,7.62,4.17,9.92,36.10,38.58,12.49,4.57
7.53,5.72,7.4,3.2,41.37,45.26,4.92,8.42
8.81,5.1,14.39,7.84,35.31,50.30,9.57,6.29
7.89,11.65,15.76,7.05,30.44,47.34,10.41,7.40
7.53,22.04,11.73,5.19,26.42,41.54,13.81,22.04
4.7,23.81,8.37,29.07,26.82,36.77,19.25,33.72
3.86,15.14,9.96,12.88,30.58,31.73,12.49,30.75
4.79,6.87,6.29,11.25,35.04,32.61,3.15,19.21
6.6,3.11,5.14,6.16,39.91,30.13,5.19,9.88
3.02,3.02,6.56,3.91,39.77,33.01,4.48,6.47
7.05,3.07,7.05,2.4,36.10,34.82,5.76,9.17
8.64,4.57,8.11,4.52,35.84,38.62,8.24,10.50
7.89,7.27,4.61,2.4,39.64,40.84,9.61,9.04
11.82,9.48,10.94,6.38,41.37,42.38,7.49,4.35
11.03,8.86,7.22,5.28,47.43,52.51,7.97,7.75
5.1,4.44,7.93,4.39,39.91,50.17,12.57,11.38
3.55,4.92,4.7,4.7,38.71,55.70,10.76,9.66
4.13,6.52,5.41,2.8,28.32,50.61,4.48,4.70
4.88,7.18,2.93,4.83,26.86,47.51,5.06,5.37
4.57,5.41,8.77,3.95,22.88,40.17,9.74,11.20
2.93,2.22,9.17,5.63,22.66,32.30,8.28,10.14
6.96,5.19,4.57,4.57,17.88,24.47,9.79,11.42
8.15,6.07,4.17,1.92,22.92,26.68,13.55,15.98
3.15,3.95,8.59,1.52,22.08,22.26,19.03,22.92
4.44,3.91,6.21,3.42,33.32,32.79,19.08,24.07
5.76,5.45,10.98,3.82,31.73,30.88,11.34,17.13
5.72,9.79,4.75,5.63,32.96,33.76,5.50,7.80
4.52,7.89,11.96,7.09,24.52,29.07,5.37,3.68
3.73,1.87,3.42,4.75,25.71,33.72,10.41,6.29
6.12,6.43,12.26,3.73,25.93,36.10,11.73,11.16
2.98,4.7,10.54,9.74,27.44,35.75,12.88,15.10
7.36,4.35,10.01,3.51,28.45,33.41,10.72,15.49
12.09,4.92,8.9,4.92,26.02,29.12,5.63,15.98
9.26,3.42,5.63,4.57,24.21,23.28,6.82,18.32
4.08,6.78,5.23,4.17,23.01,17.79,12.35,19.61
4.26,6.65,5.01,5.63,19.52,11.51,15.18,18.90
2.49,5.63,11.25,9.21,18.19,15.49,10.58,9.48
2.89,5.01,11.96,8.15,10.67,15.41,4.88,1.61
4.97,4.61,13.28,7.49,15.80,27.79,6.12,4.75
4.75,2.8,9.26,3.73,17.70,29.38,7.53,8.51
9.3,10.54,16.6,12.44,24.38,33.05,8.42,6.82
13.28,17.62,11.25,4.22,21.95,26.51,7.53,5.23
11.6,16.55,13.46,8.15,20.93,22.61,7.31,5.50
5.19,10.98,16.25,8.51,17.35,18.90,10.41,11.51
6.82,9.88,8.68,6.25,15.76,15.76,8.64,12.80
10.19,13.02,15.67,6.69,16.64,13.68,3.42,9.12
6.03,9.12,10.14,4.75,14.70,11.11,10.45,22.88
23.85,24.69,20.4,14.87,11.60,11.65,28.67,45.57
31.64,30.66,22.26,20.76,10.63,16.42,37.34,45.17
22.48,22.39,12.93,5.81,14.79,25.75,25.36,24.52
12.0,20.93,7.05,5.45,17.66,29.29,11.20,6.74
5.67,14.83,6.38,5.5,15.18,26.99,13.77,8.99
2.89,12.0,10.58,8.28,9.52,19.12,15.85,16.91
4.04,10.14,10.45,7.22,11.07,13.99,9.92,12.35
4.79,6.69,3.15,5.81,17.70,15.58,6.38,7.80
7.36,6.16,3.86,4.3,26.86,22.08,8.37,13.72
7.44,5.5,3.55,8.77,40.44,40.88,14.21,16.42
5.01,5.72,5.63,6.03,42.52,46.50,15.01,10.50
2.53,4.92,3.91,5.19,46.90,52.47,11.34,5.90
3.15,4.3,3.33,1.83,40.53,45.04,10.72,7.09
6.21,3.55,13.55,4.66,34.78,37.87,13.81,8.68
5.72,8.37,7.13,14.12,31.46,34.42,13.59,8.42
3.95,23.5,9.88,6.29,22.97,22.04,9.12,12.18
3.64,36.33,5.54,38.05,22.61,15.45,7.49,27.30
5.67,28.89,3.95,5.81,19.43,13.15,4.44,34.47
6.03,12.97,7.67,11.16,15.94,15.71,4.04,20.14
5.28,9.39,4.13,10.81,15.01,21.46,8.06,10.58
5.72,15.67,6.38,6.82,10.14,13.24,7.97,9.04
7.36,14.03,4.44,6.47,9.35,11.60,4.48,8.81
8.51,10.01,1.65,5.63,7.71,16.33,8.24,5.32
5.9,13.28,3.51,6.12,12.13,23.59,12.84,18.24
6.21,23.85,4.3,17.57,19.03,37.78,10.05,39.02
10.98,29.29,7.22,20.85,21.07,36.86,6.60,45.61
16.25,23.23,14.79,5.98,21.29,40.88,11.29,32.30
18.55,12.04,7.22,7.97,25.44,41.28,10.94,18.10
13.15,6.6,12.88,5.19,25.67,40.08,7.00,11.07
6.34,8.68,5.59,3.68,32.43,39.69,4.92,12.44
4.04,8.9,6.69,2.67,27.35,33.23,10.50,14.17
3.15,10.58,7.05,5.37,31.06,30.09,13.59,15.32
2.45,9.3,8.15,3.29,29.87,35.93,7.22,12.00
2.14,6.52,6.78,1.96,29.56,33.41,3.42,8.46
1.78,3.42,5.67,3.02,34.03,43.98,3.37,5.63
4.22,3.46,4.22,3.11,27.74,35.44,5.98,11.34
4.75,5.72,5.37,5.54,32.52,37.43,8.28,13.68
8.9,9.74,12.22,8.86,24.34,25.98,8.95,12.49
8.99,9.79,2.98,4.26,32.61,33.58,3.91,8.33
5.14,6.21,4.88,3.2,29.29,30.49,6.91,11.69
6.52,5.19,1.92,8.28,33.05,34.38,13.95,16.60
7.18,7.71,9.79,8.33,34.51,28.63,12.53,15.41
3.24,7.89,3.91,4.92,33.23,24.83,9.88,11.25
4.26,3.55,8.02,5.01,31.24,20.18,7.13,9.08
7.62,8.11,6.65,8.15,23.10,15.49,4.52,6.16
6.87,10.72,3.33,3.15,21.11,16.42,6.56,13.02
7.93,8.06,10.54,7.05,24.47,19.96,4.13,18.01
8.95,4.35,4.52,4.35,27.92,29.56,11.91,20.58
5.19,6.52,2.84,9.92,37.96,36.99,14.08,15.54
6.47,8.15,8.2,7.09,32.21,37.34,10.27,5.85
7.49,9.12,12.49,17.35,28.67,32.83,7.58,15.45
6.21,12.18,14.3,16.73,13.86,20.54,6.69,16.25
5.98,12.71,19.65,15.67,13.24,17.75,7.53,11.65
5.01,9.92,7.44,15.27,9.88,10.41,13.11,11.11
3.82,7.22,7.89,17.97,10.45,15.45,10.41,7.22
3.24,7.4,8.15,3.91,10.58,15.71,8.68,12.35
7.44,7.36,3.86,11.91,15.32,21.02,11.38,20.23
