ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.41,11.56,15.36,14.96,40.92,31.59,21.29,20.05
6.78,11.51,21.86,18.24,29.12,24.65,20.00,19.21
9.57,6.69,29.29,35.97,19.61,23.50,22.97,27.74
13.9,8.06,27.39,26.86,15.23,27.08,38.45,43.62
15.05,12.8,18.94,22.17,20.80,33.67,40.48,40.66
9.61,6.69,13.06,12.66,23.90,36.41,21.24,18.28
8.02,5.14,7.62,6.07,21.24,30.66,8.59,8.77
16.29,12.75,2.89,4.04,16.38,21.55,13.81,12.49
17.4,14.08,6.29,6.16,8.86,10.05,11.47,13.24
11.87,11.56,5.06,6.43,7.13,8.81,8.06,9.39
7.36,8.2,6.69,13.64,9.08,11.78,5.19,7.05
9.83,7.36,7.58,8.33,10.98,15.94,10.05,12.66
11.87,7.93,11.29,16.95,15.14,22.97,8.68,12.22
7.4,7.49,6.91,13.64,12.18,21.86,5.14,7.22
5.23,6.78,6.65,10.45,17.26,26.68,15.18,4.79
7.71,8.11,5.76,7.4,17.09,21.33,20.45,6.38
10.98,11.07,9.39,5.59,23.50,20.09,24.12,15.89
7.53,7.09,3.55,7.62,28.32,14.65,17.79,19.70
14.7,17.4,6.65,16.47,32.83,15.89,19.70,14.83
24.34,28.14,23.99,13.5,35.57,22.22,24.34,21.38
21.55,24.56,30.22,21.46,37.96,30.71,17.48,32.96
10.76,11.51,9.61,4.52,49.64,49.68,22.61,25.40
11.56,5.1,16.82,5.01,51.05,49.95,20.49,11.47
14.48,13.24,13.46,13.99,50.43,50.12,14.17,13.24
15.71,13.77,10.94,15.18,36.15,31.55,9.04,10.94
11.47,10.85,10.14,13.59,26.11,22.57,6.21,7.67
7.53,8.28,6.6,9.48,15.05,11.51,11.96,10.19
6.65,10.1,10.36,12.44,7.67,7.05,7.53,7.44
7.22,11.65,7.18,14.92,9.96,8.64,3.99,15.58
5.59,8.68,5.98,14.21,10.81,11.51,5.37,17.97
10.32,12.49,5.63,4.88,12.40,12.44,10.27,10.54
10.67,11.91,2.31,10.41,8.15,8.02,12.44,10.89
8.86,11.91,7.13,1.38,8.11,6.38,13.81,13.72
10.27,14.3,7.53,10.98,7.97,5.63,13.86,14.52
7.84,11.25,4.79,3.29,10.89,7.53,8.11,13.33
4.26,4.08,5.94,6.07,13.95,11.16,5.81,10.14
16.29,15.67,10.27,8.28,14.52,11.34,5.67,4.75
15.45,14.79,4.13,6.12,13.86,9.52,9.83,6.96
4.35,4.26,6.74,3.73,11.91,6.16,22.70,22.26
12.31,12.49,7.44,8.77,10.41,9.12,30.84,30.09
8.81,11.11,6.56,14.48,11.20,16.42,18.28,20.93
5.37,2.67,8.59,5.37,12.09,20.54,6.03,9.52
7.4,5.98,16.38,7.36,11.51,22.00,4.48,2.84
